ise_mt,Trade Date,Exch,B/S,P/C,Qty,Class,Sym,Mo,Yr,Strike,Price,O/C,CFM,optional data,client_order_ID,Ex Brok,MM ID,CMTA,Ex Firm,Client ID,Billing ID,Account,Trader,compID,cust_ID,Product Code,Penny,parent_type,phlx_mt,Liquidity,Exec Rate,Exec Charge,Exch Trans Fees,OCC Clrg Fees,Total Charges,transaction_ID
,08/17/21,AMEX,S,P,2000,ARKK,ARKK,9,2021,90,0.61,C,P,2300352817,,E35J,,444,792,oscarg,oscarg,,,,,etf,Y,,,C,0.1,200,0,0,200,170642608
,08/17/21,AMEX,B,C,1000,ARKK,ARKK,9,2021,125,1.42,C,P,2300352817,,E35J,,444,792,oscarg,oscarg,,,,,etf,Y,,,C,0.1,100,0,0,100,170642408
,08/17/21,AMEX,S,P,100,BABA,BABA,1,2023,110,8.6,C,C,2300077417,,E35J,,608,792,oscarg,oscarg,,,,,,Y,,,N,0.1,10,0,0,10,170628263
,08/17/21,AMEX,B,P,200,BABA,BABA,1,2023,125,12.3,C,C,2300077417,,E35J,,608,792,oscarg,oscarg,,,,,,Y,,,N,0.1,20,0,0,20,170627786
,08/17/21,AMEX,B,C,50,IBM,IBM,1,2023,150,9.8,C,C,2300125117,,E35J,,608,792,oscarg,oscarg,,,,,,Y,,,N,0.1,5,0,0,5,170605941
,08/17/21,AMEX,B,P,750,IWM,IWM,6,2022,190,9.6,C,P,2300028117,,E35J,,444,792,oscarg,oscarg,,,,,etf_iwm,Y,,,C,0.1,75,0,0,75,170553040
,08/17/21,AMEX,B,P,600,IWM,IWM,6,2022,190,9.6,C,P,2300028117,,E35J,,444,792,oscarg,oscarg,,,,,etf_iwm,Y,,,C,0.1,60,0,0,60,170552907
,08/17/21,AMEX,B,P,250,IWM,IWM,6,2022,190,9.6,C,P,2300028117,,E35J,,444,792,oscarg,oscarg,,,,,etf_iwm,Y,,,C,0.1,25,0,0,25,170552942
,08/17/21,AMEX,B,P,750,IWM,IWM,12,2022,190,13.4,C,P,2300028317,,E35J,,444,792,oscarg,oscarg,,,,,etf_iwm,Y,,,C,0.1,75,0,0,75,170554375
,08/17/21,AMEX,B,P,600,IWM,IWM,12,2022,190,13.4,C,P,2300028317,,E35J,,444,792,oscarg,oscarg,,,,,etf_iwm,Y,,,C,0.1,60,0,0,60,170554222
,08/17/21,AMEX,B,P,250,IWM,IWM,12,2022,190,13.4,C,P,2300028317,,E35J,,444,792,oscarg,oscarg,,,,,etf_iwm,Y,,,C,0.1,25,0,0,25,170554198
,08/17/21,AMEX,B,P,100,SHAK,SHAK,11,2021,85,7.43,C,P,2299825917,,E35J,,352,792,oscarg,oscarg,,,,,,,,,N,0.1,10,25,0,35,170584559
,08/17/21,AMEX,B,P,100,SHAK,SHAK,11,2021,85,7.42,C,P,2299826117,,E35J,,352,792,oscarg,oscarg,,,,,,,,,N,0.1,10,25,0,35,170581435
,08/17/21,AMEX,B,P,40,SWKS,SWKS,1,2023,145,14.5,C,F,2300318917,,E35J,,10,792,oscarg,oscarg,,,,,,Y,,,N,0.1,4,10,0,14,170557148
,08/17/21,AMEX,S,C,560,TDOC,TDOC,8,2021,140,1.7,C,P,2299943717,,E35J,,352,792,oscarg,oscarg,,,,,,Y,,,N,0.1,56,140,0,196,170529868
,08/17/21,AMEX,B,C,280,TDOC,TDOC,9,2021,140,4.95,C,P,2299943717,,E35J,,352,792,oscarg,oscarg,,,,,,Y,,,N,0.1,28,70,0,98,170560713
,08/17/21,AMEX,S,C,50,VIPS,VIPS,8,2021,30,0.05,C,P,2299987317,,E35J,,352,792,oscarg,oscarg,,,,,,,,,N,0.1,5,12.5,0,17.5,170571802
,08/17/21,AMEX,S,C,50,VIPS,VIPS,8,2021,30,0.01,C,P,OG,,E35J,,352,792,oscarg,oscarg,,,,,,,,,N,0.1,5,12.5,0,17.5,170593817
,08/18/21,AMEX,S,C,400,DIS,DIS,8,2021,175,1.55,C,P,2300640118,,E35J,,352,792,oscarg,oscarg,,,,,,Y,,,N,0.1,40,100,0,140,170789940
,08/18/21,AMEX,B,C,400,DIS,DIS,9,2021,175,4.05,C,P,2300640118,,E35J,,352,792,oscarg,oscarg,,,,,,Y,,,N,0.1,40,100,0,140,170793317
