Trade Date,Exch,B/S,P/C,Qty,Class,Sym,Mo,Yr,Strike,Price,O/C,CFM,optional data,Client Order ID,Ex Brok,MM ID,CMTA,Ex Firm,Client ID,Billing ID,Account,Trader,CompID,Cust ID,Product Code,Penny,Parent Type,ise_mt,phlx_mt,Liquidity,Exec Rate,Exec Charge,Exch Trans Fees,OCC Clrg Fees,Total Charges,transaction_ID
01/07/21,AMEX,B,C,100 ,ACB,ACB,3,2021 ,11.00,2.05 ,C,C,214706297,,E35J,,608,792,oscarg,oscarg,,,,,,Y,,,,A,0.100 ,10.00 ,0.00 ,0.00 ,10.00 ,130869232 
01/07/21,AMEX,S,C,500 ,DD,DD,2,2021 ,105.00,0.15 ,C,C,214711647,,E35J,,444,792,oscarg,oscarg,,,,,,Y,,,,N,0.100 ,50.00 ,0.00 ,0.00 ,50.00 ,130914857 
01/07/21,AMEX,B,C,500 ,DD,DD,2,2021 ,105.00,0.15 ,C,F,214712017,,E35J,,089,792,oscarg,oscarg,,,,,,Y,,,,N,0.100 ,50.00 ,0.00 ,0.00 ,50.00 ,130914845 
01/07/21,AMEX,S,C,500 ,DD,DD,2,2021 ,105.00,0.29 ,C,C,214789737,,E35J,,444,792,oscarg,oscarg,,,,,,Y,,,,C,0.100 ,50.00 ,0.00 ,0.00 ,50.00 ,130914886 
01/07/21,AMEX,B,P,500 ,DD,DD,2,2021 ,105.00,26.35 ,C,C,214711647,,E35J,,444,792,oscarg,oscarg,,,,,,Y,,,,N,0.100 ,50.00 ,0.00 ,0.00 ,50.00 ,130914852 
01/07/21,AMEX,S,P,500 ,DD,DD,2,2021 ,105.00,26.35 ,C,F,214712017,,E35J,,089,792,oscarg,oscarg,,,,,,Y,,,,N,0.100 ,50.00 ,0.00 ,0.00 ,50.00 ,130914863 
01/07/21,AMEX,B,P,500 ,DD,DD,2,2021 ,105.00,25.29 ,C,C,214789737,,E35J,,444,792,oscarg,oscarg,,,,,,Y,,,,C,0.100 ,50.00 ,0.00 ,0.00 ,50.00 ,130914881 
01/07/21,AMEX,B,C,400 ,QQQ,QQQ,4,2021 ,320.00,12.55 ,C,P,214715217,,E35J,,444,792,oscarg,oscarg,,,,,etf_qqq,Y,,,,N,0.100 ,40.00 ,100.00 ,0.00 ,140.00 ,130803499 
01/07/21,AMEX,B,P,400 ,QQQ,QQQ,4,2021 ,320.00,19.40 ,C,P,214715217,,E35J,,444,792,oscarg,oscarg,,,,,etf_qqq,Y,,,,N,0.100 ,40.00 ,100.00 ,0.00 ,140.00 ,130815578 
01/07/21,AMEX,B,C,200 ,QQQ,QQQ,6,2021 ,320.00,17.60 ,C,P,214715217,,E35J,,444,792,oscarg,oscarg,,,,,etf_qqq,Y,,,,N,0.100 ,20.00 ,50.00 ,0.00 ,70.00 ,130804580 
